Season,MatchID,Sum of MatchWeek,HomeTeam,AwayTeam,Sum of FullTimeHomeTeamGoals,Sum of FullTimeAwayTeamGoals,FullTimeResult,Sum of HomeTeamPoints,Sum of AwayTeamPoints
1999-2000,1999-2000_Southampton_Everton,21,Southampton,Everton,2,0,H,3,0
1999-2000,1999-2000_Southampton_Leeds,1,Southampton,Leeds,0,3,A,0,3
1999-2000,1999-2000_Southampton_Leicester,34,Southampton,Leicester,1,2,A,0,3
1999-2000,1999-2000_Southampton_Liverpool,10,Southampton,Liverpool,1,1,D,1,1
1999-2000,1999-2000_Southampton_Man United,33,Southampton,Man United,1,3,A,0,3
1999-2000,1999-2000_Southampton_Middlesbrough,25,Southampton,Middlesbrough,1,1,D,1,1
1999-2000,1999-2000_Southampton_Newcastle,2,Southampton,Newcastle,4,2,H,3,0
1999-2000,1999-2000_Southampton_Sheffield Weds,4,Southampton,Sheffield Weds,2,0,H,3,0
1999-2000,1999-2000_Southampton_Sunderland,29,Southampton,Sunderland,1,2,A,0,3
1999-2000,1999-2000_Southampton_Tottenham,13,Southampton,Tottenham,0,1,A,0,3
1999-2000,1999-2000_Southampton_Watford,32,Southampton,Watford,2,0,H,3,0
1999-2000,1999-2000_Southampton_West Ham,22,Southampton,West Ham,2,1,H,3,0
1999-2000,1999-2000_Southampton_Wimbledon,37,Southampton,Wimbledon,2,0,H,3,0
1999-2000,1999-2000_Sunderland_Arsenal,2,Sunderland,Arsenal,0,0,D,1,1
1999-2000,1999-2000_Sunderland_Aston Villa,9,Sunderland,Aston Villa,2,1,H,3,0
1999-2000,1999-2000_Sunderland_Bradford,33,Sunderland,Bradford,0,1,A,0,3
1999-2000,1999-2000_Sunderland_Chelsea,15,Sunderland,Chelsea,4,1,H,3,0
1999-2000,1999-2000_Sunderland_Coventry,4,Sunderland,Coventry,1,1,D,1,1
1999-2000,1999-2000_Sunderland_Derby,24,Sunderland,Derby,1,1,D,1,1
1999-2000,1999-2000_Sunderland_Everton,28,Sunderland,Everton,2,1,H,3,0
1999-2000,1999-2000_Sunderland_Leeds,21,Sunderland,Leeds,1,2,A,0,3
1999-2000,1999-2000_Sunderland_Leicester,5,Sunderland,Leicester,2,0,H,3,0
1999-2000,1999-2000_Sunderland_Liverpool,13,Sunderland,Liverpool,0,2,A,0,3
1999-2000,1999-2000_Sunderland_Man United,18,Sunderland,Man United,2,2,D,1,1
1999-2000,1999-2000_Sunderland_Middlesbrough,27,Sunderland,Middlesbrough,1,1,D,1,1
1999-2000,1999-2000_Sunderland_Newcastle,22,Sunderland,Newcastle,2,2,D,1,1
1999-2000,1999-2000_Sunderland_Sheffield Weds,7,Sunderland,Sheffield Weds,1,0,H,3,0
1999-2000,1999-2000_Sunderland_Southampton,16,Sunderland,Southampton,2,0,H,3,0
1999-2000,1999-2000_Sunderland_Tottenham,11,Sunderland,Tottenham,2,1,H,3,0
1999-2000,1999-2000_Sunderland_Watford,1,Sunderland,Watford,2,0,H,3,0
1999-2000,1999-2000_Sunderland_West Ham,36,Sunderland,West Ham,1,0,H,3,0
1999-2000,1999-2000_Sunderland_Wimbledon,30,Sunderland,Wimbledon,2,1,H,3,0
1999-2000,1999-2000_Tottenham_Arsenal,12,Tottenham,Arsenal,2,1,H,3,0
1999-2000,1999-2000_Tottenham_Aston Villa,32,Tottenham,Aston Villa,2,4,A,0,3
1999-2000,1999-2000_Tottenham_Bradford,25,Tottenham,Bradford,1,1,D,1,1
1999-2000,1999-2000_Tottenham_Chelsea,22,Tottenham,Chelsea,0,1,A,0,3
1999-2000,1999-2000_Tottenham_Coventry,6,Tottenham,Coventry,3,2,H,3,0
1999-2000,1999-2000_Tottenham_Derby,34,Tottenham,Derby,1,1,D,1,1
1999-2000,1999-2000_Tottenham_Everton,2,Tottenham,Everton,3,2,H,3,0
1999-2000,1999-2000_Tottenham_Leeds,4,Tottenham,Leeds,1,2,A,0,3
1999-2000,1999-2000_Tottenham_Leicester,8,Tottenham,Leicester,2,3,A,0,3
1999-2000,1999-2000_Tottenham_Liverpool,19,Tottenham,Liverpool,1,0,H,3,0
1999-2000,1999-2000_Tottenham_Man United,10,Tottenham,Man United,3,1,H,3,0
1999-2000,1999-2000_Tottenham_Middlesbrough,29,Tottenham,Middlesbrough,2,3,A,0,3
1999-2000,1999-2000_Tottenham_Newcastle,1,Tottenham,Newcastle,3,1,H,3,0
1999-2000,1999-2000_Tottenham_Sheffield Weds,21,Tottenham,Sheffield Weds,0,1,A,0,3
1999-2000,1999-2000_Tottenham_Southampton,26,Tottenham,Southampton,7,2,H,3,0
1999-2000,1999-2000_Tottenham_Sunderland,37,Tottenham,Sunderland,3,1,H,3,0
1999-2000,1999-2000_Tottenham_Watford,17,Tottenham,Watford,4,0,H,3,0
1999-2000,1999-2000_Tottenham_West Ham,15,Tottenham,West Ham,0,0,D,1,1
1999-2000,1999-2000_Tottenham_Wimbledon,33,Tottenham,Wimbledon,2,0,H,3,0
1999-2000,1999-2000_Watford_Arsenal,33,Watford,Arsenal,2,3,A,0,3
1999-2000,1999-2000_Watford_Aston Villa,3,Watford,Aston Villa,0,1,A,0,3
1999-2000,1999-2000_Watford_Bradford,3,Watford,Bradford,1,0,H,3,0
1999-2000,1999-2000_Watford_Chelsea,6,Watford,Chelsea,1,0,H,3,0
1999-2000,1999-2000_Watford_Coventry,37,Watford,Coventry,1,0,H,3,0
1999-2000,1999-2000_Watford_Derby,30,Watford,Derby,0,0,D,1,1
1999-2000,1999-2000_Watford_Everton,16,Watford,Everton,1,3,A,0,3
1999-2000,1999-2000_Watford_Leeds,8,Watford,Leeds,1,2,A,0,3
1999-2000,1999-2000_Watford_Leicester,23,Watford,Leicester,1,1,D,1,1
1999-2000,1999-2000_Watford_Liverpool,20,Watford,Liverpool,2,3,A,0,3
1999-2000,1999-2000_Watford_Man United,34,Watford,Man United,2,3,A,0,3
1999-2000,1999-2000_Watford_Middlesbrough,10,Watford,Middlesbrough,1,3,A,0,3
1999-2000,1999-2000_Watford_Newcastle,13,Watford,Newcastle,1,1,D,1,1
1999-2000,1999-2000_Watford_Sheffield Weds,27,Watford,Sheffield Weds,1,0,H,3,0
1999-2000,1999-2000_Watford_Southampton,18,Watford,Southampton,3,2,H,3,0
1999-2000,1999-2000_Watford_Sunderland,14,Watford,Sunderland,2,3,A,0,3
1999-2000,1999-2000_Watford_Tottenham,28,Watford,Tottenham,1,1,D,1,1
1999-2000,1999-2000_Watford_West Ham,25,Watford,West Ham,1,2,A,0,3
1999-2000,1999-2000_Watford_Wimbledon,1,Watford,Wimbledon,2,3,A,0,3
1999-2000,1999-2000_West Ham_Arsenal,8,West Ham,Arsenal,2,1,H,3,0
1999-2000,1999-2000_West Ham_Aston Villa,20,West Ham,Aston Villa,1,1,D,1,1
1999-2000,1999-2000_West Ham_Bradford,23,West Ham,Bradford,5,4,H,3,0
1999-2000,1999-2000_West Ham_Chelsea,27,West Ham,Chelsea,0,0,D,1,1
1999-2000,1999-2000_West Ham_Coventry,33,West Ham,Coventry,5,0,H,3,0
1999-2000,1999-2000_West Ham_Derby,18,West Ham,Derby,1,1,D,1,1
1999-2000,1999-2000_West Ham_Everton,24,West Ham,Everton,0,4,A,0,3
1999-2000,1999-2000_West Ham_Leeds,37,West Ham,Leeds,0,0,D,1,1
1999-2000,1999-2000_West Ham_Leicester,3,West Ham,Leicester,2,1,H,3,0
1999-2000,1999-2000_West Ham_Liverpool,14,West Ham,Liverpool,1,0,H,3,0
1999-2000,1999-2000_West Ham_Man United,16,West Ham,Man United,2,4,A,0,3
1999-2000,1999-2000_West Ham_Middlesbrough,34,West Ham,Middlesbrough,0,1,A,0,3
1999-2000,1999-2000_West Ham_Newcastle,31,West Ham,Newcastle,2,1,H,3,0
1999-2000,1999-2000_West Ham_Sheffield Weds,13,West Ham,Sheffield Weds,4,3,H,3,0
1999-2000,1999-2000_West Ham_Southampton,25,West Ham,Southampton,2,0,H,3,0
1999-2000,1999-2000_West Ham_Sunderland,10,West Ham,Sunderland,1,1,D,1,1
1999-2000,1999-2000_West Ham_Tottenham,1,West Ham,Tottenham,1,0,H,3,0
1999-2000,1999-2000_West Ham_Watford,5,West Ham,Watford,1,0,H,3,0
1999-2000,1999-2000_West Ham_Wimbledon,28,West Ham,Wimbledon,2,1,H,3,0
1999-2000,1999-2000_Wimbledon_Arsenal,29,Wimbledon,Arsenal,1,3,A,0,3
1999-2000,1999-2000_Wimbledon_Aston Villa,36,Wimbledon,Aston Villa,2,2,D,1,1
1999-2000,1999-2000_Wimbledon_Bradford,9,Wimbledon,Bradford,3,2,H,3,0
1999-2000,1999-2000_Wimbledon_Chelsea,4,Wimbledon,Chelsea,0,1,A,0,3
1999-2000,1999-2000_Wimbledon_Coventry,2,Wimbledon,Coventry,1,1,D,1,1
1999-2000,1999-2000_Wimbledon_Derby,5,Wimbledon,Derby,2,2,D,1,1
1999-2000,1999-2000_Wimbledon_Everton,22,Wimbledon,Everton,0,3,A,0,3
1999-2000,1999-2000_Wimbledon_Leeds,12,Wimbledon,Leeds,2,0,H,3,0
1999-2000,1999-2000_Wimbledon_Leicester,26,Wimbledon,Leicester,2,1,H,3,0
1999-2000,1999-2000_Wimbledon_Liverpool,32,Wimbledon,Liverpool,1,2,A,0,3
1999-2000,1999-2000_Wimbledon_Man United,24,Wimbledon,Man United,2,2,D,1,1
1999-2000,1999-2000_Wimbledon_Middlesbrough,1,Wimbledon,Middlesbrough,2,3,A,0,3
1999-2000,1999-2000_Wimbledon_Newcastle,21,Wimbledon,Newcastle,2,0,H,3,0
1999-2000,1999-2000_Wimbledon_Sheffield Weds,31,Wimbledon,Sheffield Weds,0,2,A,0,3
1999-2000,1999-2000_Wimbledon_Southampton,11,Wimbledon,Southampton,1,1,D,1,1
1999-2000,1999-2000_Wimbledon_Sunderland,19,Wimbledon,Sunderland,1,0,H,3,0
1999-2000,1999-2000_Wimbledon_Tottenham,7,Wimbledon,Tottenham,1,1,D,1,1
1999-2000,1999-2000_Wimbledon_Watford,15,Wimbledon,Watford,5,0,H,3,0
1999-2000,1999-2000_Wimbledon_West Ham,17,Wimbledon,West Ham,2,2,D,1,1
2000-2001,2000-2001_Arsenal_Aston Villa,8,Arsenal,Aston Villa,1,0,H,3,0
2000-2001,2000-2001_Arsenal_Bradford,24,Arsenal,Bradford,2,0,H,3,0
2000-2001,2000-2001_Arsenal_Charlton,2,Arsenal,Charlton,5,3,H,3,0
2000-2001,2000-2001_Arsenal_Chelsea,22,Arsenal,Chelsea,1,1,D,1,1
2000-2001,2000-2001_Arsenal_Coventry,5,Arsenal,Coventry,2,1,H,3,0
2000-2001,2000-2001_Arsenal_Derby,12,Arsenal,Derby,0,0,D,1,1
2000-2001,2000-2001_Arsenal_Everton,34,Arsenal,Everton,4,1,H,3,0
2000-2001,2000-2001_Arsenal_Ipswich,26,Arsenal,Ipswich,1,0,H,3,0
2000-2001,2000-2001_Arsenal_Leeds,37,Arsenal,Leeds,2,1,H,3,0
2000-2001,2000-2001_Arsenal_Leicester,19,Arsenal,Leicester,6,1,H,3,0
2000-2001,2000-2001_Arsenal_Liverpool,1,Arsenal,Liverpool,2,0,H,3,0
2000-2001,2000-2001_Arsenal_Man City,10,Arsenal,Man City,5,0,H,3,0
2000-2001,2000-2001_Arsenal_Man United,7,Arsenal,Man United,1,0,H,3,0
2000-2001,2000-2001_Arsenal_Middlesbrough,32,Arsenal,Middlesbrough,0,3,A,0,3
2000-2001,2000-2001_Arsenal_Newcastle,16,Arsenal,Newcastle,5,0,H,3,0
2000-2001,2000-2001_Arsenal_Southampton,15,Arsenal,Southampton,1,0,H,3,0
2000-2001,2000-2001_Arsenal_Sunderland,20,Arsenal,Sunderland,2,2,D,1,1
2000-2001,2000-2001_Arsenal_Tottenham,30,Arsenal,Tottenham,2,0,H,3,0
2000-2001,2000-2001_Arsenal_West Ham,28,Arsenal,West Ham,3,0,H,3,0
2000-2001,2000-2001_Aston Villa_Arsenal,29,Aston Villa,Arsenal,0,0,D,1,1
2000-2001,2000-2001_Aston Villa_Bradford,5,Aston Villa,Bradford,2,0,H,3,0
2000-2001,2000-2001_Aston Villa_Charlton,10,Aston Villa,Charlton,2,1,H,3,0
2000-2001,2000-2001_Aston Villa_Chelsea,2,Aston Villa,Chelsea,1,1,D,1,1
2000-2001,2000-2001_Aston Villa_Coventry,37,Aston Villa,Coventry,3,2,H,3,0
2000-2001,2000-2001_Aston Villa_Derby,7,Aston Villa,Derby,4,1,H,3,0
2000-2001,2000-2001_Aston Villa_Everton,32,Aston Villa,Everton,2,1,H,3,0
2000-2001,2000-2001_Aston Villa_Ipswich,28,Aston Villa,Ipswich,2,1,H,3,0
2000-2001,2000-2001_Aston Villa_Leeds,23,Aston Villa,Leeds,1,2,A,0,3
2000-2001,2000-2001_Aston Villa_Leicester,30,Aston Villa,Leicester,2,1,H,3,0
2000-2001,2000-2001_Aston Villa_Liverpool,22,Aston Villa,Liverpool,0,3,A,0,3
2000-2001,2000-2001_Aston Villa_Man City,17,Aston Villa,Man City,2,2,D,1,1
2000-2001,2000-2001_Aston Villa_Man United,19,Aston Villa,Man United,0,1,A,0,3
2000-2001,2000-2001_Aston Villa_Middlesbrough,26,Aston Villa,Middlesbrough,1,1,D,1,1
2000-2001,2000-2001_Aston Villa_Newcastle,15,Aston Villa,Newcastle,1,1,D,1,1
2000-2001,2000-2001_Aston Villa_Southampton,34,Aston Villa,Southampton,0,0,D,1,1
2000-2001,2000-2001_Aston Villa_Sunderland,9,Aston Villa,Sunderland,0,0,D,1,1
2000-2001,2000-2001_Aston Villa_Tottenham,12,Aston Villa,Tottenham,2,0,H,3,0
2000-2001,2000-2001_Aston Villa_West Ham,31,Aston Villa,West Ham,2,2,D,1,1
2000-2001,2000-2001_Bradford_Arsenal,4,Bradford,Arsenal,1,1,D,1,1
2000-2001,2000-2001_Bradford_Aston Villa,25,Bradford,Aston Villa,0,3,A,0,3
2000-2001,2000-2001_Bradford_Charlton,32,Bradford,Charlton,2,0,H,3,0
2000-2001,2000-2001_Bradford_Chelsea,1,Bradford,Chelsea,2,0,H,3,0
2000-2001,2000-2001_Bradford_Coventry,15,Bradford,Coventry,2,1,H,3,0
2000-2001,2000-2001_Bradford_Derby,34,Bradford,Derby,2,0,H,3,0
2000-2001,2000-2001_Bradford_Everton,12,Bradford,Everton,0,1,A,0,3
2000-2001,2000-2001_Bradford_Ipswich,9,Bradford,Ipswich,0,2,A,0,3
2000-2001,2000-2001_Bradford_Leeds,10,Bradford,Leeds,1,1,D,1,1
2000-2001,2000-2001_Bradford_Leicester,2,Bradford,Leicester,0,0,D,1,1
2000-2001,2000-2001_Bradford_Liverpool,36,Bradford,Liverpool,0,2,A,0,3
2000-2001,2000-2001_Bradford_Man City,29,Bradford,Man City,2,2,D,1,1
2000-2001,2000-2001_Bradford_Man United,22,Bradford,Man United,0,3,A,0,3
2000-2001,2000-2001_Bradford_Middlesbrough,37,Bradford,Middlesbrough,1,1,D,1,1
2000-2001,2000-2001_Bradford_Newcastle,30,Bradford,Newcastle,2,2,D,1,1
2000-2001,2000-2001_Bradford_Southampton,6,Bradford,Southampton,0,1,A,0,3
2000-2001,2000-2001_Bradford_Sunderland,19,Bradford,Sunderland,1,4,A,0,3
2000-2001,2000-2001_Bradford_Tottenham,16,Bradford,Tottenham,3,3,D,1,1
2000-2001,2000-2001_Bradford_West Ham,27,Bradford,West Ham,1,2,A,0,3
2000-2001,2000-2001_Charlton_Arsenal,21,Charlton,Arsenal,1,0,H,3,0
2000-2001,2000-2001_Charlton_Aston Villa,33,Charlton,Aston Villa,3,3,D,1,1
2000-2001,2000-2001_Charlton_Bradford,11,Charlton,Bradford,2,0,H,3,0
2000-2001,2000-2001_Charlton_Chelsea,13,Charlton,Chelsea,2,0,H,3,0
2000-2001,2000-2001_Charlton_Coventry,7,Charlton,Coventry,2,2,D,1,1
2000-2001,2000-2001_Charlton_Derby,24,Charlton,Derby,2,1,H,3,0
2000-2001,2000-2001_Charlton_Everton,18,Charlton,Everton,1,0,H,3,0
2000-2001,2000-2001_Charlton_Ipswich,36,Charlton,Ipswich,2,1,H,3,0
2000-2001,2000-2001_Charlton_Leeds,29,Charlton,Leeds,1,2,A,0,3
2000-2001,2000-2001_Charlton_Leicester,30,Charlton,Leicester,2,0,H,3,0
2000-2001,2000-2001_Charlton_Liverpool,38,Charlton,Liverpool,0,4,A,0,3
2000-2001,2000-2001_Charlton_Man City,1,Charlton,Man City,4,0,H,3,0
2000-2001,2000-2001_Charlton_Man United,16,Charlton,Man United,3,3,D,1,1
2000-2001,2000-2001_Charlton_Middlesbrough,9,Charlton,Middlesbrough,1,0,H,3,0
2000-2001,2000-2001_Charlton_Newcastle,26,Charlton,Newcastle,2,0,H,3,0
2000-2001,2000-2001_Charlton_Southampton,3,Charlton,Southampton,1,1,D,1,1
2000-2001,2000-2001_Charlton_Sunderland,14,Charlton,Sunderland,0,1,A,0,3
2000-2001,2000-2001_Charlton_Tottenham,5,Charlton,Tottenham,1,0,H,3,0
2000-2001,2000-2001_Charlton_West Ham,23,Charlton,West Ham,1,1,D,1,1
2000-2001,2000-2001_Chelsea_Arsenal,3,Chelsea,Arsenal,2,2,D,1,1
2000-2001,2000-2001_Chelsea_Aston Villa,21,Chelsea,Aston Villa,1,0,H,3,0
2000-2001,2000-2001_Chelsea_Bradford,18,Chelsea,Bradford,3,0,H,3,0
2000-2001,2000-2001_Chelsea_Charlton,34,Chelsea,Charlton,0,1,A,0,3
2000-2001,2000-2001_Chelsea_Coventry,9,Chelsea,Coventry,6,1,H,3,0
2000-2001,2000-2001_Chelsea_Derby,16,Chelsea,Derby,4,1,H,3,0
2000-2001,2000-2001_Chelsea_Everton,37,Chelsea,Everton,2,1,H,3,0
2000-2001,2000-2001_Chelsea_Ipswich,23,Chelsea,Ipswich,4,1,H,3,0
2000-2001,2000-2001_Chelsea_Leeds,12,Chelsea,Leeds,1,1,D,1,1
2000-2001,2000-2001_Chelsea_Leicester,5,Chelsea,Leicester,0,2,A,0,3
2000-2001,2000-2001_Chelsea_Liverpool,7,Chelsea,Liverpool,3,0,H,3,0
2000-2001,2000-2001_Chelsea_Man City,15,Chelsea,Man City,2,1,H,3,0
2000-2001,2000-2001_Chelsea_Man United,26,Chelsea,Man United,1,1,D,1,1
2000-2001,2000-2001_Chelsea_Middlesbrough,30,Chelsea,Middlesbrough,2,1,H,3,0
2000-2001,2000-2001_Chelsea_Newcastle,24,Chelsea,Newcastle,3,1,H,3,0
2000-2001,2000-2001_Chelsea_Southampton,32,Chelsea,Southampton,1,0,H,3,0
2000-2001,2000-2001_Chelsea_Sunderland,29,Chelsea,Sunderland,2,4,A,0,3
2000-2001,2000-2001_Chelsea_Tottenham,10,Chelsea,Tottenham,3,0,H,3,0
2000-2001,2000-2001_Chelsea_West Ham,1,Chelsea,West Ham,4,2,H,3,0
2000-2001,2000-2001_Coventry_Arsenal,25,Coventry,Arsenal,0,1,A,0,3
2000-2001,2000-2001_Coventry_Aston Villa,14,Coventry,Aston Villa,1,1,D,1,1
2000-2001,2000-2001_Coventry_Bradford,38,Coventry,Bradford,0,0,D,1,1
2000-2001,2000-2001_Coventry_Charlton,27,Coventry,Charlton,2,2,D,1,1
2000-2001,2000-2001_Coventry_Chelsea,28,Coventry,Chelsea,0,0,D,1,1
2000-2001,2000-2001_Coventry_Derby,30,Coventry,Derby,2,0,H,3,0
2000-2001,2000-2001_Coventry_Everton,23,Coventry,Everton,1,3,A,0,3
2000-2001,2000-2001_Coventry_Ipswich,13,Coventry,Ipswich,0,1,A,0,3
2000-2001,2000-2001_Coventry_Leeds,4,Coventry,Leeds,0,0,D,1,1
2000-2001,2000-2001_Coventry_Leicester,16,Coventry,Leicester,1,0,H,3,0
2000-2001,2000-2001_Coventry_Liverpool,35,Coventry,Liverpool,0,2,A,0,3
2000-2001,2000-2001_Coventry_Man City,21,Coventry,Man City,1,1,D,1,1
2000-2001,2000-2001_Coventry_Man United,11,Coventry,Man United,1,2,A,0,3
2000-2001,2000-2001_Coventry_Middlesbrough,1,Coventry,Middlesbrough,1,3,A,0,3
2000-2001,2000-2001_Coventry_Newcastle,3,Coventry,Newcastle,0,2,A,0,3
2000-2001,2000-2001_Coventry_Southampton,18,Coventry,Southampton,1,1,D,1,1
2000-2001,2000-2001_Coventry_Sunderland,33,Coventry,Sunderland,1,0,H,3,0
2000-2001,2000-2001_Coventry_Tottenham,8,Coventry,Tottenham,2,1,H,3,0
2000-2001,2000-2001_Coventry_West Ham,6,Coventry,West Ham,0,3,A,0,3
2000-2001,2000-2001_Derby_Arsenal,35,Derby,Arsenal,1,2,A,0,3
2000-2001,2000-2001_Derby_Aston Villa,27,Derby,Aston Villa,1,0,H,3,0
2000-2001,2000-2001_Derby_Bradford,13,Derby,Bradford,2,0,H,3,0
2000-2001,2000-2001_Derby_Charlton,4,Derby,Charlton,2,2,D,1,1
2000-2001,2000-2001_Derby_Chelsea,31,Derby,Chelsea,0,4,A,0,3
2000-2001,2000-2001_Derby_Coventry,17,Derby,Coventry,1,0,H,3,0
2000-2001,2000-2001_Derby_Everton,21,Derby,Everton,1,0,H,3,0
2000-2001,2000-2001_Derby_Ipswich,38,Derby,Ipswich,1,1,D,1,1
2000-2001,2000-2001_Derby_Leeds,6,Derby,Leeds,1,1,D,1,1
2000-2001,2000-2001_Derby_Leicester,33,Derby,Leicester,2,0,H,3,0
2000-2001,2000-2001_Derby_Liverpool,8,Derby,Liverpool,0,4,A,0,3
2000-2001,2000-2001_Derby_Man City,23,Derby,Man City,1,1,D,1,1
2000-2001,2000-2001_Derby_Man United,14,Derby,Man United,0,3,A,0,3
2000-2001,2000-2001_Derby_Middlesbrough,3,Derby,Middlesbrough,3,3,D,1,1
2000-2001,2000-2001_Derby_Newcastle,18,Derby,Newcastle,2,0,H,3,0
2000-2001,2000-2001_Derby_Southampton,1,Derby,Southampton,2,2,D,1,1
2000-2001,2000-2001_Derby_Sunderland,25,Derby,Sunderland,1,0,H,3,0
2000-2001,2000-2001_Derby_Tottenham,28,Derby,Tottenham,2,1,H,3,0
2000-2001,2000-2001_Derby_West Ham,11,Derby,West Ham,0,0,D,1,1
2000-2001,2000-2001_Everton_Arsenal,13,Everton,Arsenal,2,0,H,3,0
2000-2001,2000-2001_Everton_Aston Villa,11,Everton,Aston Villa,0,1,A,0,3
2000-2001,2000-2001_Everton_Bradford,35,Everton,Bradford,2,1,H,3,0
2000-2001,2000-2001_Everton_Charlton,1,Everton,Charlton,3,0,H,3,0
2000-2001,2000-2001_Everton_Chelsea,14,Everton,Chelsea,2,1,H,3,0
2000-2001,2000-2001_Everton_Coventry,19,Everton,Coventry,1,2,A,0,3
2000-2001,2000-2001_Everton_Derby,2,Everton,Derby,2,2,D,1,1
2000-2001,2000-2001_Everton_Ipswich,7,Everton,Ipswich,0,3,A,0,3
2000-2001,2000-2001_Everton_Leeds,25,Everton,Leeds,2,2,D,1,1
2000-2001,2000-2001_Everton_Leicester,26,Everton,Leicester,2,1,H,3,0
2000-2001,2000-2001_Everton_Liverpool,33,Everton,Liverpool,2,3,A,0,3
2000-2001,2000-2001_Everton_Man City,31,Everton,Man City,3,1,H,3,0
2000-2001,2000-2001_Everton_Man United,5,Everton,Man United,1,3,A,0,3
2000-2001,2000-2001_Everton_Middlesbrough,24,Everton,Middlesbrough,2,2,D,1,1
2000-2001,2000-2001_Everton_Newcastle,28,Everton,Newcastle,1,1,D,1,1
2000-2001,2000-2001_Everton_Southampton,8,Everton,Southampton,1,1,D,1,1
2000-2001,2000-2001_Everton_Sunderland,38,Everton,Sunderland,2,2,D,1,1
2000-2001,2000-2001_Everton_Tottenham,22,Everton,Tottenham,0,0,D,1,1
2000-2001,2000-2001_Everton_West Ham,17,Everton,West Ham,1,1,D,1,1
2000-2001,2000-2001_Ipswich_Arsenal,6,Ipswich,Arsenal,1,1,D,1,1
2000-2001,2000-2001_Ipswich_Aston Villa,4,Ipswich,Aston Villa,1,2,A,0,3
2000-2001,2000-2001_Ipswich_Bradford,28,Ipswich,Bradford,3,1,H,3,0
2000-2001,2000-2001_Ipswich_Charlton,12,Ipswich,Charlton,2,0,H,3,0
2000-2001,2000-2001_Ipswich_Chelsea,19,Ipswich,Chelsea,2,2,D,1,1
2000-2001,2000-2001_Ipswich_Coventry,34,Ipswich,Coventry,2,0,H,3,0
2000-2001,2000-2001_Ipswich_Derby,15,Ipswich,Derby,0,1,A,0,3
2000-2001,2000-2001_Ipswich_Everton,27,Ipswich,Everton,2,0,H,3,0
2000-2001,2000-2001_Ipswich_Leeds,25,Ipswich,Leeds,1,2,A,0,3
2000-2001,2000-2001_Ipswich_Leicester,22,Ipswich,Leicester,2,0,H,3,0
2000-2001,2000-2001_Ipswich_Liverpool,31,Ipswich,Liverpool,1,1,D,1,1
2000-2001,2000-2001_Ipswich_Man City,37,Ipswich,Man City,2,1,H,3,0
2000-2001,2000-2001_Ipswich_Man United,1,Ipswich,Man United,1,1,D,1,1
2000-2001,2000-2001_Ipswich_Middlesbrough,10,Ipswich,Middlesbrough,2,1,H,3,0
2000-2001,2000-2001_Ipswich_Newcastle,32,Ipswich,Newcastle,1,0,H,3,0
2000-2001,2000-2001_Ipswich_Southampton,17,Ipswich,Southampton,3,1,H,3,0
2000-2001,2000-2001_Ipswich_Sunderland,2,Ipswich,Sunderland,1,0,H,3,0
2000-2001,2000-2001_Ipswich_Tottenham,20,Ipswich,Tottenham,3,0,H,3,0
2000-2001,2000-2001_Ipswich_West Ham,8,Ipswich,West Ham,1,1,D,1,1
2000-2001,2000-2001_Leeds_Arsenal,14,Leeds,Arsenal,1,0,H,3,0
2000-2001,2000-2001_Leeds_Aston Villa,18,Leeds,Aston Villa,1,2,A,0,3
2000-2001,2000-2001_Leeds_Bradford,37,Leeds,Bradford,6,1,H,3,0
2000-2001,2000-2001_Leeds_Charlton,8,Leeds,Charlton,3,1,H,3,0
2000-2001,2000-2001_Leeds_Chelsea,35,Leeds,Chelsea,2,0,H,3,0
2000-2001,2000-2001_Leeds_Coventry,24,Leeds,Coventry,1,0,H,3,0
2000-2001,2000-2001_Leeds_Derby,26,Leeds,Derby,0,0,D,1,1
2000-2001,2000-2001_Leeds_Everton,1,Leeds,Everton,2,0,H,3,0
2000-2001,2000-2001_Leeds_Ipswich,5,Leeds,Ipswich,1,2,A,0,3
2000-2001,2000-2001_Leeds_Leicester,38,Leeds,Leicester,3,1,H,3,0
2000-2001,2000-2001_Leeds_Liverpool,11,Leeds,Liverpool,4,3,H,3,0
2000-2001,2000-2001_Leeds_Man City,3,Leeds,Man City,1,2,A,0,3
2000-2001,2000-2001_Leeds_Man United,28,Leeds,Man United,1,1,D,1,1
2000-2001,2000-2001_Leeds_Middlesbrough,21,Leeds,Middlesbrough,1,1,D,1,1
2000-2001,2000-2001_Leeds_Newcastle,23,Leeds,Newcastle,1,3,A,0,3
2000-2001,2000-2001_Leeds_Southampton,31,Leeds,Southampton,2,0,H,3,0
2000-2001,2000-2001_Leeds_Sunderland,17,Leeds,Sunderland,2,0,H,3,0
2000-2001,2000-2001_Leeds_Tottenham,7,Leeds,Tottenham,4,3,H,3,0
2000-2001,2000-2001_Leeds_West Ham,13,Leeds,West Ham,0,1,A,0,3
2000-2001,2000-2001_Leicester_Arsenal,23,Leicester,Arsenal,0,0,D,1,1
2000-2001,2000-2001_Leicester_Aston Villa,1,Leicester,Aston Villa,0,0,D,1,1
2000-2001,2000-2001_Leicester_Bradford,21,Leicester,Bradford,1,2,A,0,3
2000-2001,2000-2001_Leicester_Charlton,17,Leicester,Charlton,3,1,H,3,0
2000-2001,2000-2001_Leicester_Chelsea,25,Leicester,Chelsea,2,1,H,3,0
