Player,Pos,Team,Starts,Age,MP,90s,Min,Gls,Ast,G+A,PK,G+A_90,G+A-PK_90
Carlos Baleba,MF,Brighton,15,19,27,14.7,1325,0,0,0,0,0,0
Danny Welbeck,"FW,MF",Brighton,21,32,29,18.8,1693,5,1,6,0,0.32,0.32
Evan Ferguson,FW,Brighton,15,18,27,15.2,1367,6,0,6,0,0.4,0.4
Facundo Buonanotte,"FW,MF",Brighton,17,18,27,15.2,1364,3,1,4,0,0.26,0.26
Igor,DF,Brighton,17,25,24,18.2,1637,0,0,0,0,0,0
Jack Hinshelwood,DF,Brighton,8,18,12,9.7,869,3,0,3,0,0.31,0.31
Jakub Moder,"MF,DF",Brighton,6,24,17,6.9,618,0,0,0,0,0,0
James Milner,"DF,MF",Brighton,11,37,15,8.6,773,0,2,2,0,0.23,0.23
Jan Paul van Hecke,DF,Brighton,26,23,28,26.3,2369,0,0,0,0,0,0
Jason Steele,GK,Brighton,17,32,17,17,1530,0,0,0,0,0,0
João Pedro,"FW,MF",Brighton,19,21,31,22.7,2045,9,3,12,4,0.53,0.35
Joël Veltman,DF,Brighton,17,31,27,17.6,1588,1,1,2,0,0.11,0.11
Julio Enciso,"MF,FW",Brighton,5,19,12,5.3,475,0,2,2,0,0.38,0.38
Kaoru Mitoma,FW,Brighton,15,26,19,16.5,1486,3,4,7,0,0.42,0.42
Lewis Dunk,DF,Brighton,33,31,33,31.9,2869,3,1,4,0,0.13,0.13
Mahmoud Dahoud,MF,Brighton,6,27,9,5,452,0,1,1,0,0.2,0.2
Mark O'Mahony,FW,Brighton,1,18,3,0.7,63,0,0,0,0,0,0
Odeluga Offiah,DF,Brighton,1,20,4,1.4,128,0,0,0,0,0,0
Pascal Groß,"MF,DF",Brighton,34,32,36,34.6,3114,4,10,14,1,0.4,0.38
Pervis Estupiñán,DF,Brighton,15,25,19,13.8,1243,2,3,5,0,0.36,0.36
Simon Adingra,FW,Brighton,25,21,31,24.7,2222,6,1,7,0,0.28,0.28
Solly March,"FW,DF",Brighton,7,29,7,6.2,554,3,1,4,0,0.65,0.65
Tariq Lamptey,"DF,FW",Brighton,10,22,19,10.2,914,0,3,3,0,0.3,0.3
Valentín Barco,"DF,FW",Brighton,3,19,6,3.4,307,0,0,0,0,0,0
Aaron Ramsey,"MF,FW",Burnley,5,20,14,5.9,527,0,0,0,0,0,0
Ameen Al-Dakhil,DF,Burnley,12,21,13,11.7,1056,1,0,1,0,0.09,0.09
Anass Zaroury,"FW,MF",Burnley,1,22,6,1.7,152,0,0,0,0,0,0
Arijanet Muric,GK,Burnley,10,24,10,10,900,0,0,0,0,0,0
Benson Manuel,"MF,FW",Burnley,1,26,8,1.3,116,0,0,0,0,0,0
Charlie Taylor,DF,Burnley,25,29,28,25.9,2331,1,1,2,0,0.08,0.08
Connor Roberts,DF,Burnley,8,27,14,9.1,823,0,1,1,0,0.11,0.11
Dara O'Shea,DF,Burnley,32,24,33,32.1,2892,3,4,7,0,0.22,0.22
David Datro Fofana,FW,Burnley,10,20,15,9.8,879,4,1,5,0,0.51,0.51
